game_id,success
20220702HTSK0,O
20220702SSNC0,O
20220702OBKT0,O
20220703HHWO0,O
20220703LTLG0,O
20220703HTSK0,O
20220703SSNC0,O
20220703OBKT0,O
20220705NCHH0,O
20220705WOOB0,O
20220705LTSK0,O
20220705LGSS0,O
20220705KTHT0,O
20220706NCHH0,O
20220706WOOB0,O
20220706LTSK0,O
20220706LGSS0,O
20220706KTHT0,O
20220707NCHH0,O
20220707WOOB0,O
20220707LTSK0,O
20220707LGSS0,O
20220707KTHT0,O
20220708LGOB0,O
20220708SKSS0,O
20220708LTKT0,O
20220708HHHT0,O
20220708NCWO0,O
20220709NCWO0,O
20220709LGOB0,O
20220709SKSS0,O
20220709LTKT0,O
20220709HHHT0,O
20220710NCWO0,O
20220710LGOB0,O
20220710SKSS0,O
20220710LTKT0,O
20220710HHHT0,O
20220712HTLG0,O
20220712WOSK0,O
20220712HHLT0,O
20220712OBNC0,O
20220712SSKT0,O
20220713HTLG0,O
20220713WOSK0,O
20220713HHLT0,O
20220713OBNC0,O
20220713SSKT0,O
20220714HTLG0,O
20220714WOSK0,O
20220714HHLT0,O
20220714OBNC0,O
20220714SSKT0,O
20220716WEEA0,O
20220722KTHH0,O
20220722SKOB0,O
20220722HTLT0,O
20220722LGNC0,O
20220722SSWO0,O
20220723SSWO0,O
20220723KTHH0,O
20220723SKOB0,O
20220723HTLT0,O
20220723LGNC0,O
20220724SSWO0,O
20220724KTHH0,O
20220724SKOB0,O
20220724HTLT0,O
20220724LGNC0,O
20220726LTOB0,O
20220726LGSK0,O
20220726WOKT0,O
20220726NCHT0,O
