기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022-04-15,2,LG,12,8,4,0,0.667,3.0,6승0무4패,1패,3-0-3,5-0-1
2022-04-15,2,키움,12,8,4,0,0.667,3.0,7승0무3패,7승,4-0-4,4-0-0
2022-04-15,4,두산,11,7,4,0,0.636,3.5,6승0무4패,1패,3-0-3,4-0-1
2022-04-15,5,롯데,11,6,5,0,0.545,4.5,5승0무5패,2승,2-0-2,4-0-3
2022-04-15,6,삼성,12,6,6,0,0.5,5.0,5승0무5패,1패,3-0-3,3-0-3
2022-04-15,7,KIA,11,4,7,0,0.364,6.5,4승0무6패,2패,4-0-3,0-0-4
2022-04-15,8,NC,12,3,9,0,0.25,8.0,3승0무7패,1승,2-0-4,1-0-5
2022-04-15,8,한화,12,3,9,0,0.25,8.0,3승0무7패,1승,3-0-1,0-0-8
2022-04-15,10,KT,11,2,9,0,0.182,8.5,1승0무9패,5패,1-0-6,1-0-3
2022-04-16,1,SSG,13,12,1,0,0.923,0.0,9승0무1패,2승,5-0-0,7-0-1
2022-04-16,2,LG,13,9,4,0,0.692,3.0,6승0무4패,1승,3-0-3,6-0-1
2022-04-16,3,두산,12,8,4,0,0.667,3.5,6승0무4패,1승,4-0-3,4-0-1
2022-04-16,4,키움,13,8,5,0,0.615,4.0,7승0무3패,1패,4-0-4,4-0-1
2022-04-16,5,롯데,12,6,6,0,0.5,5.5,5승0무5패,1패,2-0-3,4-0-3
2022-04-16,6,삼성,13,6,7,0,0.462,6.0,4승0무6패,2패,3-0-3,3-0-4
2022-04-16,7,KIA,12,5,7,0,0.417,6.5,5승0무5패,1승,4-0-3,1-0-4
2022-04-16,8,KT,12,3,9,0,0.25,8.5,2승0무8패,1승,1-0-6,2-0-3
2022-04-16,9,NC,13,3,10,0,0.231,9.0,3승0무7패,1패,2-0-5,1-0-5
2022-04-16,9,한화,13,3,10,0,0.231,9.0,3승0무7패,1패,3-0-2,0-0-8
2022-04-17,1,SSG,14,13,1,0,0.929,0.0,9승0무1패,3승,6-0-0,7-0-1
2022-04-17,2,LG,14,10,4,0,0.714,3.0,6승0무4패,2승,3-0-3,7-0-1
2022-04-17,3,키움,14,9,5,0,0.643,4.0,8승0무2패,1승,4-0-4,5-0-1
2022-04-17,4,두산,13,8,5,0,0.615,4.5,6승0무4패,1패,4-0-4,4-0-1
2022-04-17,5,롯데,13,7,6,0,0.538,5.5,5승0무5패,1승,3-0-3,4-0-3
2022-04-17,6,KIA,13,6,7,0,0.462,6.5,5승0무5패,2승,4-0-3,2-0-4
2022-04-17,7,삼성,14,6,8,0,0.429,7.0,3승0무7패,3패,3-0-3,3-0-5
2022-04-17,8,KT,13,3,10,0,0.231,9.5,2승0무8패,1패,1-0-6,2-0-4
2022-04-17,9,NC,14,3,11,0,0.214,10.0,2승0무8패,2패,2-0-6,1-0-5
2022-04-17,9,한화,14,3,11,0,0.214,10.0,3승0무7패,2패,3-0-3,0-0-8
2022-04-19,1,SSG,15,13,2,0,0.867,0.0,8승0무2패,1패,6-0-1,7-0-1
2022-04-19,2,LG,15,10,5,0,0.667,3.0,5승0무5패,1패,3-0-4,7-0-1
2022-04-19,2,키움,15,10,5,0,0.667,3.0,9승0무1패,2승,4-0-4,6-0-1
2022-04-19,4,두산,14,8,6,0,0.571,4.5,6승0무4패,2패,4-0-4,4-0-2
2022-04-19,5,롯데,14,7,7,0,0.5,5.5,5승0무5패,1패,3-0-4,4-0-3
2022-04-19,5,KIA,14,7,7,0,0.5,5.5,5승0무5패,3승,5-0-3,2-0-4
2022-04-19,7,삼성,15,6,9,0,0.4,7.0,3승0무7패,4패,3-0-3,3-0-6
2022-04-19,8,KT,14,4,10,0,0.286,8.5,3승0무7패,1승,1-0-6,3-0-4
2022-04-19,9,NC,15,4,11,0,0.267,9.0,3승0무7패,1승,3-0-6,1-0-5
2022-04-19,9,한화,15,4,11,0,0.267,9.0,4승0무6패,1승,3-0-3,1-0-8
2022-04-20,1,SSG,16,14,2,0,0.875,0.0,8승0무2패,1승,7-0-1,7-0-1
2022-04-20,2,LG,16,10,6,0,0.625,4.0,5승0무5패,2패,3-0-5,7-0-1
2022-04-20,2,키움,16,10,6,0,0.625,4.0,8승0무2패,1패,4-0-4,6-0-2
