YEAR,PLAYER_ID,PLAYER_NAME,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,LOB%,ERA,FIP,E-F
2022,52637,놀린,7.84,174.00%,450.00%,51.00%,21.10%,4.70%,16.40%,1.12,0.296,77.30%,2.47,3.06,-0.59
2022,50040,데스파이네,6.79,265.00%,256.00%,77.00%,17.00%,6.60%,10.30%,1.51,0.347,68.40%,4.53,3.95,0.58
2022,52707,라미레즈,6.47,510.00%,127.00%,55.00%,16.50%,13.00%,3.50%,1.36,0.253,69.70%,4.13,4.67,-0.54
2022,69940,루친스키,9.02,158.00%,571.00%,65.00%,24.30%,4.30%,20.10%,1.13,0.311,72.20%,2.97,2.88,0.1
2022,52808,모리만도,8,275.00%,291.00%,24.00%,22.00%,7.60%,14.50%,1.06,0.264,80.00%,1.67,2.93,-1.26
2022,64021,박세웅,8.35,183.00%,456.00%,46.00%,21.50%,4.70%,16.80%,1.35,0.355,67.00%,3.78,2.86,0.92
2022,68249,박신지,5.55,584.00%,95.00%,102.00%,12.10%,12.80%,-0.60%,2.01,0.345,66.30%,6.71,5.72,0.99
2022,52060,박영현,9.58,348.00%,275.00%,87.00%,25.10%,9.10%,16.00%,1.28,0.295,72.90%,3.66,3.58,0.08
2022,52528,반즈,7.73,227.00%,340.00%,39.00%,20.30%,6.00%,14.30%,1.19,0.301,66.90%,3.62,3.18,0.44
2022,65516,배제성,7.49,387.00%,193.00%,67.00%,19.40%,10.00%,9.40%,1.39,0.303,67.70%,4.21,3.92,0.29
2022,77446,백정현,5.05,267.00%,189.00%,159.00%,12.50%,6.60%,5.90%,1.53,0.311,73.30%,5.27,5.57,-0.3
2022,52043,벤자민,7.17,223.00%,321.00%,102.00%,20.00%,6.20%,13.80%,1.02,0.238,78.80%,2.7,4.05,-1.35
2022,50404,뷰캐넌,6.58,219.00%,300.00%,56.00%,16.90%,5.60%,11.30%,1.34,0.321,77.50%,3.04,3.52,-0.48
2022,52257,브랜든,5.54,332.00%,167.00%,69.00%,14.50%,8.70%,5.80%,1.23,0.248,70.30%,3.6,4.21,-0.61
2022,69539,서준원,6.75,345.00%,196.00%,45.00%,17.00%,8.70%,8.30%,1.47,0.328,68.70%,4.8,3.84,0.96
2022,61895,서진용,7.35,481.00%,153.00%,67.00%,18.50%,12.10%,6.40%,1.49,0.298,74.00%,4.01,4.36,-0.35
2022,50030,소형준,6.15,205.00%,300.00%,42.00%,16.60%,5.50%,11.10%,1.15,0.281,70.20%,3.05,3.3,-0.26
2022,69962,송명기,8.86,451.00%,196.00%,117.00%,21.40%,10.90%,10.50%,1.58,0.332,71.30%,4.51,4.93,-0.42
2022,52457,수아레즈,8.24,259.00%,318.00%,36.00%,22.30%,7.00%,15.30%,1.16,0.291,73.80%,2.49,2.92,-0.43
2022,52234,스탁,7.53,453.00%,166.00%,49.00%,19.10%,11.50%,7.60%,1.48,0.315,69.20%,3.55,4.02,-0.47
2022,50558,스트레일리,7.94,318.00%,250.00%,72.00%,21.20%,8.50%,12.70%,1.22,0.285,77.30%,2.31,3.92,-1.61
2022,52557,스파크맨,9.46,457.00%,207.00%,64.00%,23.10%,11.10%,11.90%,1.65,0.373,65.60%,5.31,3.78,1.54
2022,68902,신민혁,7.99,236.00%,339.00%,114.00%,20.20%,6.00%,14.20%,1.34,0.314,70.90%,4.56,4.2,0.36
2022,68341,안우진,10.29,253.00%,407.00%,18.00%,29.20%,7.20%,22.10%,0.95,0.265,75.40%,2.11,2.17,-0.06
2022,52308,애플러,5.52,257.00%,215.00%,83.00%,13.80%,6.40%,7.40%,1.51,0.333,74.60%,4.3,4.25,0.04
2022,77637,양현종,7.24,257.00%,282.00%,72.00%,19.00%,6.70%,12.20%,1.25,0.292,67.40%,3.85,3.63,0.22
2022,65056,엄상백,8.91,295.00%,302.00%,90.00%,23.90%,7.90%,16.00%,1.22,0.294,79.20%,2.95,3.68,-0.73
2022,75421,오승환,8.05,205.00%,392.00%,126.00%,21.30%,5.40%,15.90%,1.26,0.307,80.90%,3.32,4.06,-0.75
2022,50859,오원석,7,363.00%,193.00%,100.00%,17.70%,9.20%,8.50%,1.5,0.32,71.20%,4.5,4.45,0.05
2022,69343,요키시,7.48,160.00%,467.00%,39.00%,20.60%,4.40%,16.20%,1.09,0.295,74.60%,2.57,2.81,-0.23
2022,76118,원종현,7.11,242.00%,294.00%,71.00%,19.20%,6.50%,12.70%,1.14,0.267,77.30%,2.98,3.59,-0.61
2022,69446,원태인,7.08,207.00%,342.00%,87.00%,18.60%,5.40%,13.10%,1.29,0.311,73.00%,3.92,3.74,0.18
2022,63464,윤대경,6.09,203.00%,300.00%,72.00%,14.60%,4.90%,9.70%,1.63,0.373,55.10%,7.53,3.93,3.6
2022,68619,윤중현,4.53,235.00%,193.00%,67.00%,11.30%,5.80%,5.40%,1.43,0.311,65.40%,5.03,4.32,0.72
2022,50126,이민호,5.51,324.00%,170.00%,106.00%,13.50%,8.00%,5.60%,1.58,0.328,67.50%,5.51,4.85,0.66
2022,67603,이승호,7.87,483.00%,163.00%,125.00%,20.50%,12.60%,7.90%,1.41,0.276,84.10%,3.58,5.14,-1.56
2022,66291,이영하,7.57,520.00%,146.00%,46.00%,18.00%,12.30%,5.60%,1.68,0.334,64.80%,4.93,4.18,0.74
2022,77211,이용찬,9.05,193.00%,469.00%,45.00%,24.10%,5.10%,19.00%,1.14,0.306,82.60%,2.08,2.71,-0.64
2022,51648,이의리,9.41,432.00%,218.00%,105.00%,24.00%,11.00%,13.00%,1.31,0.269,71.00%,3.86,4.34,-0.48
2022,64565,이인복,5.04,213.00%,237.00%,43.00%,13.00%,5.50%,7.50%,1.44,0.337,69.40%,4.19,3.59,0.6
2022,60263,이재학,7.12,534.00%,133.00%,49.00%,17.70%,13.30%,4.40%,1.42,0.262,62.30%,4.75,4.47,0.28
2022,69134,이정용,6.07,273.00%,222.00%,46.00%,16.00%,7.20%,8.80%,1.18,0.262,67.80%,3.19,3.61,-0.43
2022,60768,이태양,4.9,193.00%,254.00%,121.00%,12.90%,5.10%,7.80%,1.25,0.275,76.60%,3.62,4.72,-1.1
2022,62754,임기영,5.71,251.00%,228.00%,125.00%,14.80%,6.50%,8.30%,1.34,0.287,75.30%,4.24,4.78,-0.54
2022,61101,임찬규,6.51,339.00%,192.00%,87.00%,16.30%,8.50%,7.80%,1.47,0.314,68.30%,5.04,4.43,0.61
2022,79764,장민재,5.33,277.00%,192.00%,107.00%,14.10%,7.30%,6.80%,1.29,0.274,77.40%,3.55,4.66,-1.11
2022,77318,장시환,9.47,466.00%,203.00%,57.00%,23.90%,11.80%,12.10%,1.43,0.309,63.70%,4.38,3.61,0.78
2022,51895,장지훈,5.4,180.00%,300.00%,98.00%,14.30%,4.80%,9.50%,1.22,0.281,71.40%,4.25,4.27,-0.02
2022,63950,장현식,6.92,450.00%,154.00%,69.00%,17.20%,11.20%,6.00%,1.54,0.309,80.90%,3.12,4.31,-1.19
2022,69159,정우영,6.21,497.00%,125.00%,47.00%,16.10%,12.90%,3.20%,1.38,0.269,83.10%,2.64,4.55,-1.91
2022,78148,정찬헌,4.33,289.00%,150.00%,134.00%,10.80%,7.20%,3.60%,1.53,0.309,69.80%,5.36,5.43,-0.07
2022,68242,정철원,5.82,322.00%,181.00%,50.00%,16.00%,8.80%,7.10%,1.18,0.26,75.20%,3.1,3.87,-0.77
2022,50662,정해영,6.91,289.00%,239.00%,48.00%,18.10%,7.60%,10.50%,1.29,0.293,75.20%,3.38,3.42,-0.04
2022,65060,주권,5.51,142.00%,388.00%,53.00%,15.30%,3.90%,11.30%,1.3,0.342,71.20%,3.91,3.31,0.6
2022,65707,주현상,5.37,228.00%,236.00%,81.00%,13.40%,5.70%,7.70%,1.5,0.337,55.60%,6.83,4.3,2.53
2022,68856,최민준,6.32,448.00%,141.00%,132.00%,16.70%,11.80%,4.90%,1.24,0.211,68.50%,3.95,5.37,-1.42
2022,51264,최승용,6.17,415.00%,149.00%,77.00%,15.10%,10.20%,5.00%,1.58,0.314,65.30%,5.3,4.48,0.82
2022,67263,최원준,6.16,202.00%,305.00%,115.00%,15.80%,5.20%,10.70%,1.33,0.303,74.40%,3.6,4.38,-0.78
2022,65320,최원태,5.37,341.00%,158.00%,43.00%,14.10%,9.00%,5.20%,1.27,0.267,67.40%,3.75,3.99,-0.24
2022,50556,최준용,10.14,254.00%,400.00%,127.00%,26.40%,6.60%,19.80%,1.17,0.283,72.00%,4.06,3.97,0.09
2022,69103,켈리,8.28,189.00%,437.00%,54.00%,23.00%,5.30%,17.80%,1.08,0.289,78.40%,2.54,2.9,-0.36
2022,52606,파노니,7.95,261.00%,304.00%,54.00%,21.00%,6.90%,14.10%,1.23,0.299,73.20%,2.72,3.25,-0.53
2022,52720,페냐,9.58,399.00%,240.00%,53.00%,24.60%,10.20%,14.30%,1.37,0.322,70.00%,3.72,3.44,0.29
2022,51863,폰트,8.32,166.00%,500.00%,88.00%,23.30%,4.70%,18.70%,0.95,0.246,75.70%,2.69,3.37,-0.68
2022,52145,플럿코,8.28,211.00%,392.00%,72.00%,23.10%,5.90%,17.20%,1.01,0.253,76.30%,2.39,3.24,-0.85
2022,61666,한승혁,7.73,448.00%,173.00%,45.00%,18.40%,10.60%,7.70%,1.74,0.374,67.00%,5.27,3.94,1.33
2022,62363,한현희,6.84,278.00%,246.00%,104.00%,17.10%,6.90%,10.10%,1.38,0.301,69.30%,4.75,4.51,0.24
