year,player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2021,69168,이상영,LG,4.32,21,1,1,0,0,0.5,50.00,48,7,32,8,30,28,24,1.6
2021,61145,이우찬,LG,5.56,15,0,1,0,0,0,34.00,36,3,25,1,27,25,21,1.79
2021,69134,이정용,LG,2.97,66,3,3,0,15,0.5,69.66,55,4,23,1,74,25,23,1.12
2021,67164,이찬혁,LG,18,1,0,0,0,0,,1.00,1,0,2,0,2,2,2,3
2021,69113,임준형,LG,3.13,6,1,0,0,0,1,23.00,24,0,4,3,21,8,8,1.22
2021,61101,임찬규,LG,3.87,17,1,8,0,0,0.111,90.66,76,7,41,3,67,45,39,1.29
2021,69159,정우영,LG,2.22,70,7,3,2,27,0.7,65.00,43,0,26,8,41,16,16,1.06
2021,76650,진해수,LG,2.44,50,1,0,0,5,1,44.33,41,2,18,3,39,17,12,1.33
2021,76455,차우찬,LG,5.24,5,2,1,0,0,0.667,22.33,16,2,13,3,12,14,13,1.3
2021,65241,채원후,LG,3.12,14,0,0,0,0,,17.33,15,0,20,0,18,8,6,2.02
2021,79140,최동환,LG,9.53,8,0,0,0,0,,5.66,6,0,4,2,2,6,6,1.76
2021,62146,최성훈,LG,2.43,46,1,1,0,3,0.5,40.66,40,2,19,1,33,14,11,1.45
2021,69103,켈리,LG,3.15,30,13,8,0,0,0.619,177.00,160,12,60,11,142,64,62,1.24
2021,63248,함덕주,LG,4.29,16,1,2,0,1,0.333,21.00,20,2,13,3,18,11,10,1.57
2021,67591,강동호,롯데,6.75,1,0,0,0,0,,1.33,1,0,1,1,1,1,1,1.5
2021,79358,강윤구,롯데,8.44,22,0,1,0,3,0,16.00,21,3,14,1,15,15,15,2.19
2021,65514,강태율,롯데,0,1,0,0,0,0,,,2,0,0,0,0,0,0,6
2021,63543,구승민,롯데,4.33,68,6,5,0,20,0.545,62.33,47,5,31,4,65,30,30,1.25
2021,76225,김건국,롯데,6.55,13,0,0,0,0,,22.00,27,3,14,0,17,16,16,1.86
2021,78536,김대우,롯데,5.09,39,2,2,0,9,0.5,35.33,32,4,24,4,31,22,20,1.58
2021,68585,김도규,롯데,5.79,43,2,1,0,5,0.667,42.00,41,3,22,0,39,28,27,1.5
2021,67504,김민수,롯데,0,1,0,0,0,0,,1.00,0,0,1,0,1,0,0,1
2021,62528,김원중,롯데,3.59,61,4,4,35,0,0.5,62.66,50,6,28,3,64,26,25,1.24
2021,64596,김유영,롯데,7.23,26,1,0,0,0,1,18.66,21,1,14,2,17,16,15,1.88
2021,51516,김진욱,롯데,6.31,39,4,6,0,8,0.4,45.66,42,3,49,3,45,32,32,1.99
2021,67539,나균안,롯데,6.41,23,1,2,1,1,0.333,46.33,62,4,24,0,27,36,33,1.86
2021,73211,노경은,롯데,7.35,14,3,5,0,0,0.375,56.33,79,11,24,4,35,50,46,1.83
2021,66556,박선우,롯데,0,1,0,0,0,0,,2.00,1,0,0,2,1,0,0,0.5
2021,64021,박세웅,롯데,3.98,28,10,9,0,0,0.526,163.00,141,20,53,10,125,75,72,1.19
2021,63512,박진형,롯데,7.88,22,2,1,0,0,0.667,16.00,25,1,10,0,23,14,14,2.19
2021,64501,배성근,롯데,0,2,0,0,0,0,,2.00,2,0,1,0,1,0,0,1.5
2021,69539,서준원,롯데,7.33,26,1,3,0,3,0.25,54.00,72,5,29,2,37,46,44,1.87
2021,50558,스트레일리,롯데,4.07,31,10,12,0,0,0.455,165.66,162,12,67,7,164,85,75,1.38
2021,79293,오현택,롯데,6.61,20,0,1,0,1,0,16.33,28,2,8,1,8,13,12,2.2
2021,67588,윤성빈,롯데,0,1,0,0,0,0,,1.00,0,0,1,0,0,0,0,1
2021,68529,이승헌,롯데,5.77,16,0,3,0,0,0,57.66,65,2,43,7,31,39,37,1.87
2021,64565,이인복,롯데,4.11,25,3,0,0,1,1,61.33,75,5,14,5,45,31,28,1.45
2021,68556,정성종,롯데,8.25,12,0,0,0,0,,12.00,19,2,8,1,4,12,11,2.25
2021,51546,정우준,롯데,9.53,6,0,0,0,0,,5.66,6,1,5,2,4,6,6,1.94
2021,79545,진명호,롯데,4.81,33,2,2,0,3,0.5,24.33,20,3,14,2,24,14,13,1.4
2021,64718,최설우,롯데,6.2,20,1,2,0,0,0.333,40.66,45,4,24,2,28,30,28,1.7
2021,50556,최준용,롯데,2.85,44,4,2,1,20,0.667,47.33,41,6,16,1,45,16,15,1.2
2021,68362,추재현,롯데,0,1,0,0,0,0,,1.00,0,0,2,0,0,0,0,2
2021,51567,프랑코,롯데,5.4,37,9,8,0,1,0.529,150.00,147,20,75,20,124,97,90,1.48
2021,61295,강동연,NC,7.83,12,3,2,0,1,0.6,23.00,25,4,14,0,14,21,20,1.7
2021,50905,강태경,NC,5.68,3,0,1,0,0,0,12.66,13,2,10,2,10,8,8,1.82
2021,60339,김건태,NC,5.4,6,0,0,0,0,,6.66,2,1,7,0,5,4,4,1.35
2021,68900,김영규,NC,5.37,37,5,3,0,6,0.625,63.66,69,10,28,1,42,40,38,1.52
2021,75867,김진성,NC,7.17,42,2,4,1,9,0.333,37.66,43,7,18,1,37,34,30,1.62
2021,67954,김진호,NC,27,1,0,1,0,0,0,1.00,2,0,3,0,1,3,3,5
2021,50992,김태경,NC,4.8,7,0,0,0,0,,15.00,11,1,9,1,10,8,8,1.33
2021,67956,김태현,NC,11.81,6,0,0,0,0,,5.33,5,0,7,4,3,8,7,2.25
2021,69996,노시훈,NC,3.86,5,0,0,0,0,,4.66,4,1,4,0,2,2,2,1.71
2021,69940,루친스키,NC,3.17,30,15,10,0,0,0.6,178.66,160,12,55,10,177,76,63,1.2
2021,69940,루친스키,NC,3.17,30,15,10,0,0,0.6,178.66,160,12,55,10,177,76,63,1.2
2021,65949,류진욱,NC,2.08,44,1,0,1,7,1,43.33,40,2,22,0,31,15,10,1.43
2021,65643,문경찬,NC,4.94,35,0,1,0,4,0,31.00,25,6,20,0,25,20,17,1.45
2021,63991,박진우,NC,1.64,9,0,0,0,1,,11.00,6,0,5,1,12,2,2,1
2021,69974,배민서,NC,4.95,32,1,0,0,0,1,40.00,51,3,17,4,23,26,22,1.7
2021,67962,소이현,NC,6.75,10,0,0,0,0,,10.66,13,1,12,0,10,12,8,2.34
2021,63914,손정욱,NC,6.57,15,1,0,0,0,1,12.33,17,1,7,0,8,9,9,1.95
2021,69962,송명기,NC,5.91,24,8,9,0,0,0.471,123.33,147,12,58,9,102,83,81,1.66
2021,68902,신민혁,NC,4.41,30,9,6,0,0,0.6,145.00,155,17,44,5,107,75,71,1.37
2021,68902,신민혁,NC,4.41,30,9,6,0,0,0.6,145.00,155,17,44,5,107,75,71,1.37
2021,50901,안인산,NC,5.4,7,0,0,0,0,,6.66,3,0,7,3,9,5,4,1.5
2021,76118,원종현,NC,4.25,61,2,2,14,6,0.5,53.00,67,5,23,3,45,27,25,1.7
2021,68910,이승헌,NC,6.75,5,0,0,0,0,,5.33,9,0,1,0,7,5,4,1.88
2021,51948,이용준,NC,21.6,2,0,0,0,0,,1.66,3,0,4,0,1,4,4,4.2
2021,77211,이용찬,NC,2.19,39,1,3,16,3,0.25,37.00,27,2,11,1,35,11,9,1.03
2021,65964,이우석,NC,5.59,10,1,0,0,0,1,9.66,13,1,7,3,8,6,6,2.07
2021,60263,이재학,NC,5.2,17,6,6,0,0,0.5,83.00,74,14,52,6,65,50,48,1.52
2021,63959,임정호,NC,4.15,60,0,4,0,12,0,34.66,37,2,25,3,24,20,16,1.79
2021,78352,임창민,NC,3.79,46,0,3,0,17,0,40.33,35,2,20,4,29,23,17,1.36
2021,62966,최금강,NC,4.5,20,2,1,1,0,0.667,28.00,29,4,17,2,25,14,14,1.64
2021,51967,파슨스,NC,3.72,24,4,8,0,0,0.333,133.00,109,9,63,11,148,56,55,1.29
2021,62655,홍성민,NC,3.92,53,3,4,0,14,0.429,41.33,53,3,12,2,26,19,18,1.57
2021,64498,구준범,삼성,22.5,1,0,0,0,0,,2.00,2,2,3,1,1,5,5,2.5
2021,61365,김대우,삼성,6.35,31,0,2,0,1,0,51.00,68,7,15,2,27,39,36,1.63
2021,68403,김무신,삼성,6.63,20,0,0,0,1,,19.00,25,2,17,1,25,18,14,2.21
2021,62920,노건우,삼성,4.74,16,0,2,0,1,0,19.00,10,2,14,1,19,10,10,1.26
2021,69439,라이블리,삼성,4.05,6,0,1,0,0,0,33.33,23,4,13,5,38,16,15,1.08
2021,51439,몽고메리,삼성,5.37,11,2,5,0,0,0.286,52.00,46,3,38,4,55,33,31,1.62
2021,67419,문용익,삼성,4.5,22,2,0,0,2,1,22.00,21,3,10,1,19,11,11,1.41
2021,65844,박세웅,삼성,9,4,0,0,0,0,,3.00,5,1,3,1,2,4,3,2.67
2021,77446,백정현,삼성,2.63,27,14,5,0,0,0.737,157.66,142,15,54,2,109,54,46,1.24
2021,50404,뷰캐넌,삼성,3.1,30,16,5,0,0,0.762,177.00,173,13,59,2,162,71,61,1.31
2021,61411,심창민,삼성,5.08,59,3,2,0,16,0.6,51.33,47,8,32,6,58,32,29,1.54
2021,68415,양창섭,삼성,6.6,9,1,1,0,1,0.5,15.00,21,3,8,0,13,11,11,1.93
2021,75421,오승환,삼성,2.03,64,0,2,44,0,0,62.00,56,3,16,2,57,17,14,1.16
2021,73117,우규민,삼성,3.31,60,3,3,2,24,0.5,49.00,58,5,9,2,35,22,18,1.37
2021,69446,원태인,삼성,3.06,26,14,7,0,0,0.667,158.66,147,11,51,5,129,59,54,1.25
2021,63960,이상민,삼성,4.74,30,1,1,0,3,0.5,24.66,28,2,14,0,14,15,13,1.7
2021,50464,이승민,삼성,8.58,11,1,4,0,0,0.2,35.66,50,6,18,3,22,34,34,1.91
2021,51454,이승현,삼성,5.26,41,1,4,0,7,0.2,39.33,35,3,23,3,46,24,23,1.47
2021,60146,이승현,삼성,9.53,21,1,1,0,1,0.5,17.00,30,6,8,0,7,18,18,2.24
2021,63492,이재익,삼성,4.5,11,2,0,0,0,1,10.00,11,1,12,0,5,6,5,2.3
2021,51460,이재희,삼성,5.4,5,0,1,0,0,0,21.66,24,2,10,0,17,13,13,1.57
