YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2023,65132,김재성,삼성,0.192,57,125,99,7,19,3,0,1,25,7,2,0
2023,50458,김지찬,삼성,0.292,99,355,291,59,85,4,2,1,96,18,7,0
2023,62360,김태훈,삼성,,2,0,0,0,0,0,0,0,0,0,0,0
2023,65040,김태훈,삼성,0.095,11,22,21,0,2,1,0,0,3,1,1,0
2023,61404,김헌곤,삼성,0,6,4,4,0,0,0,0,0,0,0,0,0
2023,51417,김현준,삼성,0.275,109,479,433,62,119,10,6,3,150,46,8,3
2023,64407,김호재,삼성,0.216,75,127,116,6,25,7,0,0,32,9,5,0
2023,53404,류승민,삼성,0.212,24,57,52,5,11,3,0,0,14,5,2,0
2023,62234,류지혁,삼성,0.268,132,522,455,63,122,11,1,2,141,45,10,5
2023,64469,송준석,삼성,0.25,7,8,8,0,2,0,0,0,2,1,0,0
2023,66406,안주형,삼성,0.241,53,91,79,12,19,2,0,1,24,10,1,1
2023,75421,오승환,삼성,,3,0,0,0,0,0,0,0,0,0,0,0
2023,75334,오재일,삼성,0.203,106,364,315,31,64,15,0,11,112,54,0,3
2023,68463,윤정빈,삼성,0.147,28,43,34,5,5,0,0,1,8,3,0,0
2023,69428,이병헌,삼성,0.143,23,33,28,3,4,0,0,0,4,2,1,1
2023,63960,이상민,삼성,0,1,1,1,0,0,0,0,0,0,0,0,0
2023,66409,이성규,삼성,0.207,109,162,145,23,30,10,1,1,45,18,4,2
2023,60146,이승현,삼성,,2,0,0,0,0,0,0,0,0,0,0,0
2023,51454,이승현,삼성,,2,0,0,0,0,0,0,0,0,0,0,0
2023,63492,이재익,삼성,,1,0,0,0,0,0,0,0,0,0,0,0
2023,52415,이재현,삼성,0.249,143,538,458,61,114,19,2,12,173,60,16,6
2023,68466,이태훈,삼성,0.231,12,14,13,1,3,1,0,0,4,0,0,0
2023,69416,이해승,삼성,0.25,9,4,4,0,1,1,0,0,2,0,0,0
2023,52405,조민성,삼성,0.207,15,29,29,1,6,2,0,0,8,5,0,0
2023,51463,피렐라,삼성,0.285,139,605,557,66,159,28,1,16,237,80,0,2
2023,62925,강진성,SSG,0.261,58,145,134,10,35,6,1,3,52,17,1,1
2023,51868,고명준,SSG,0,2,4,4,0,0,0,0,0,0,0,0,0
2023,72523,고효준,SSG,,2,0,0,0,0,0,0,0,0,0,0,0
2023,71837,김강민,SSG,0.226,70,166,137,20,31,3,0,2,40,7,2,3
2023,53844,김건웅,SSG,0,1,3,3,0,0,0,0,0,0,0,0,0
2023,62864,김민식,SSG,0.218,122,318,266,28,58,9,1,5,84,34,17,2
2023,76802,김성현,SSG,0.268,112,354,310,35,83,14,0,1,100,27,13,2
2023,53865,김정민,SSG,0.5,8,2,2,1,1,0,0,0,1,0,0,0
2023,66917,김찬형,SSG,0.229,36,53,48,6,11,3,0,1,17,5,2,0
2023,73211,노경은,SSG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,50868,류효승,SSG,0,3,4,3,0,0,0,0,0,0,0,0,0
2023,62869,문승원,SSG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,67893,박성한,SSG,0.266,128,529,459,53,122,19,0,9,168,47,7,4
2023,69839,백승건,SSG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,61895,서진용,SSG,,3,0,0,0,0,0,0,0,0,0,0,0
2023,66864,안상현,SSG,0.241,58,66,58,10,14,3,0,0,17,2,3,0
2023,53827,에레디아,SSG,0.323,122,523,473,76,153,29,0,12,218,76,1,1
2023,60558,오태곤,SSG,0.239,123,305,272,37,65,14,1,7,102,28,8,3
2023,64861,이건욱,SSG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,76812,이재원,SSG,0.091,27,48,44,3,4,1,0,0,5,2,1,1
2023,67807,이정범,SSG,0.172,15,33,29,2,5,0,0,0,5,4,0,2
2023,63440,이흥련,SSG,0.071,16,17,14,1,1,0,0,1,4,2,1,0
2023,62611,임준섭,SSG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,50820,전의산,SSG,0.201,56,153,134,11,27,6,0,4,45,21,0,1
2023,51865,조형우,SSG,0.185,62,133,119,9,22,4,1,2,34,12,4,1
2023,69804,채현우,SSG,,1,0,0,1,0,0,0,0,0,0,0,0
2023,69802,최경모,SSG,0.15,28,20,20,6,3,0,0,0,3,1,0,0
2023,68856,최민준,SSG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,68805,최상민,SSG,0.235,51,41,34,5,8,0,0,0,8,3,2,1
2023,75847,최정,SSG,0.297,128,552,471,94,140,31,0,29,258,87,1,6
2023,76267,최주환,SSG,0.235,134,478,426,48,100,24,0,20,184,63,1,3
2023,68868,최준우,SSG,0.267,38,69,60,5,16,1,0,0,17,6,0,1
2023,50854,최지훈,SSG,0.268,117,503,462,65,124,19,8,2,165,30,8,1
