game_id,player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
20221005KTSS0,74540,2022-10-05,KT,0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.262
20221006OBSS0,74540,2022-10-06,두산,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.26
20221007OBSS0,74540,2022-10-07,두산,0.333,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0.26
20221008SKSS0,74540,2022-10-08,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1,0.258
20220604HTKT0,68050,2022-06-04,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20220605HTKT0,68050,2022-06-05,KIA,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.0
20220607WOKT0,68050,2022-06-07,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20220608WOKT0,68050,2022-06-08,키움,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.0
20220609WOKT0,68050,2022-06-09,키움,0.400,5,5,1,2,1,0,0,0,0,0,0,0,1,0,0.095
20220601LTKT0,68050,2022-06-01,롯데,0.500,5,4,2,2,2,0,0,1,0,0,1,0,1,0,0.16
20220611LTKT0,68050,2022-06-11,롯데,0.333,5,3,0,1,0,0,0,2,0,0,1,0,0,0,0.179
20220612LTKT0,68050,2022-06-12,롯데,0.750,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0.25
20220614SKKT0,68050,2022-06-14,SSG,0.500,4,2,1,1,1,0,0,0,0,0,2,0,0,0,0.265
20220615SKKT0,68050,2022-06-15,SSG,0.667,4,3,1,2,1,0,0,1,0,0,1,0,1,0,0.297
20220617OBKT0,68050,2022-06-17,두산,0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.293
20220618OBKT0,68050,2022-06-18,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.267
20220619OBKT0,68050,2022-06-19,두산,0.250,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0.265
20220621NCKT0,68050,2022-06-21,NC,0.333,4,3,1,1,0,0,0,0,0,0,0,1,2,0,0.269
20220622NCKT0,68050,2022-06-22,NC,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.273
20220624LGKT0,68050,2022-06-24,LG,0.333,4,3,2,1,0,0,1,2,0,0,1,0,0,0,0.276
20220625LGKT0,68050,2022-06-25,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.258
20220626LGKT0,68050,2022-06-26,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.242
20220628SSKT0,68050,2022-06-28,삼성,0.500,6,6,1,3,0,0,0,1,0,0,0,0,0,0,0.264
20220629SSKT0,68050,2022-06-29,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.25
20220603SSKT0,68050,2022-06-03,삼성,0.250,5,4,2,1,0,0,1,1,0,0,1,0,3,0,0.25
20220701OBKT0,68050,2022-07-01,두산,1.000,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0.268
20220817WOKT0,68050,2022-08-17,키움,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,1,0.256
20220818LTKT0,68050,2022-08-18,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.247
20220819LTKT0,68050,2022-08-19,롯데,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,1,0.255
20220802HTKT0,68050,2022-08-02,KIA,0.500,5,4,0,2,0,0,0,1,0,0,1,0,1,0,0.265
20220821HTKT0,68050,2022-08-21,KIA,0.400,5,5,1,2,0,0,0,1,0,0,0,0,1,0,0.272
20220823OBKT0,68050,2022-08-23,두산,0.400,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0.278
20220824OBKT0,68050,2022-08-24,두산,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.268
20220825SKKT0,68050,2022-08-25,SSG,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0.256
20220826SKKT0,68050,2022-08-26,SSG,0.667,5,3,2,2,0,0,1,3,0,0,1,0,1,0,0.267
20220827NCKT0,68050,2022-08-27,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0.26
20220828NCKT0,68050,2022-08-28,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.252
20220831OBKT0,68050,2022-08-31,두산,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.252
20220901LGKT0,68050,2022-09-01,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,1,0.246
20220902LGKT0,68050,2022-09-02,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.239
20220903HTKT0,68050,2022-09-03,KIA,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.231
20220904HTKT0,68050,2022-09-04,KIA,0.400,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0.236
20220906HHKT0,68050,2022-09-06,한화,0.500,5,4,0,2,0,0,0,1,0,0,1,0,0,0,0.243
20220907HHKT0,68050,2022-09-07,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.237
20220908NCKT0,68050,2022-09-08,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.234
20220909NCKT0,68050,2022-09-09,NC,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.234
20220901WOKT0,68050,2022-09-01,키움,0.667,5,3,0,2,1,0,0,0,0,0,1,0,0,0,0.242
20220911WOKT0,68050,2022-09-11,키움,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.244
20220913HHKT0,68050,2022-09-13,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.244
20220914HHKT0,68050,2022-09-14,한화,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.246
20220915LGKT0,68050,2022-09-15,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.24
20220917LTKT0,68050,2022-09-17,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.235
20220918LTKT0,68050,2022-09-18,롯데,0.500,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0.24
20220902SKKT0,68050,2022-09-02,SSG,0.750,4,4,0,3,0,0,0,2,0,0,0,0,1,0,0.251
20220921SKKT0,68050,2022-09-21,SSG,0.200,5,5,0,1,0,0,0,2,0,0,0,0,0,0,0.25
20220922SSKT0,68050,2022-09-22,삼성,0.600,6,5,1,3,0,0,1,3,0,0,1,0,1,0,0.259
20220923SSKT0,68050,2022-09-23,삼성,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.252
20220925NCKT0,68050,2022-09-25,NC,0.000,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0.248
20220927OBKT0,68050,2022-09-27,두산,0.250,4,4,1,1,0,0,1,3,0,0,0,0,1,0,0.248
20220928OBKT0,68050,2022-09-28,두산,0.500,5,4,0,2,0,0,0,0,0,0,1,0,0,0,0.252
20221004SSKT0,68050,2022-10-04,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.252
20221005SSKT0,68050,2022-10-05,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.248
20221007HTKT0,68050,2022-10-07,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.244
20221008HTKT0,68050,2022-10-08,KIA,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.245
20221001NCKT0,68050,2022-10-01,NC,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.245
20221011LGKT0,68050,2022-10-11,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.245
