game_id,player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
20250511SSLG0,77263,2025-05-11,삼성,구원,홀,0.00,4,1,0,0,1,0,0,0,0,1.46
20250322LGLT0,65522,2025-03-22,LG,구원,,0.00,7,1 1/3,1,0,1,0,2,2,0,0.0
20250326SKLT0,65522,2025-03-26,SSG,구원,,0.00,1,1/3,0,0,0,0,1,0,0,0.0
20250327SKLT0,65522,2025-03-27,SSG,구원,,0.00,3,1/3,2,0,0,0,1,0,0,0.0
20250328KTLT0,65522,2025-03-28,KT,구원,,-,1,0,0,0,1,0,0,0,0,0.0
20250404OBLT0,65522,2025-04-04,두산,구원,,18.00,7,1,2,0,2,0,0,2,2,6.0
20250406OBLT0,65522,2025-04-06,두산,구원,,0.00,3,2/3,1,0,0,0,0,0,0,4.91
20250408HTLT0,65522,2025-04-08,KIA,구원,,0.00,3,1,0,0,0,0,1,0,0,3.86
20250409HTLT0,65522,2025-04-09,KIA,구원,,0.00,6,2,0,0,0,0,1,0,0,2.7
20250413NCLT0,65522,2025-04-13,NC,구원,,0.00,8,1 2/3,1,0,1,0,0,1,0,2.16
20250417WOLT0,65522,2025-04-17,키움,구원,,13.50,4,2/3,2,0,0,0,0,1,1,3.0
20250419SSLT0,65522,2025-04-19,삼성,구원,,0.00,8,2,0,0,1,0,3,0,0,2.45
20250423HHLT0,65522,2025-04-23,한화,구원,,0.00,4,1,1,0,0,0,1,0,0,2.25
20250425OBLT0,65522,2025-04-25,두산,구원,,0.00,2,2/3,0,0,0,0,0,0,0,2.13
20250426OBLT0,65522,2025-04-26,두산,구원,,0.00,5,1 1/3,0,0,1,0,1,0,0,1.93
20250427OBLT0,65522,2025-04-27,두산,구원,,0.00,3,1,0,0,0,0,0,0,0,1.8
20250403WOLT0,65522,2025-04-03,키움,구원,,9.00,8,2,2,1,0,0,2,2,2,2.65
20250503NCLT0,65522,2025-05-03,NC,구원,패,9.00,9,2,2,1,0,2,1,2,2,3.32
20250505SKLT0,65522,2025-05-05,SSG,구원,,3.00,12,3,2,0,1,0,1,1,1,3.27
20250501KTLT0,65522,2025-05-01,KT,구원,승,0.00,5,1 1/3,0,0,1,0,1,0,0,3.09
20250511KTLT0,65522,2025-05-11,KT,구원,,0.00,1,1/3,0,0,0,0,1,0,0,3.04
20250513HTLT0,65522,2025-05-13,KIA,구원,,-,1,0,1,0,0,0,0,1,1,3.42
20250515HTLT0,65522,2025-05-15,KIA,구원,,9.00,5,1,2,1,0,0,0,1,1,3.65
20250517SSLT0,65522,2025-05-17,삼성,구원,,0.00,3,2/3,1,0,0,0,0,0,0,3.55
20250502LGLT0,65522,2025-05-02,LG,구원,,10.80,9,1 2/3,2,0,2,1,1,2,2,4.0
20250523HHLT0,65522,2025-05-23,한화,구원,,0.00,3,1,0,0,0,0,0,0,0,3.86
20250525HHLT0,65522,2025-05-25,한화,구원,패,27.00,3,1/3,1,0,1,0,1,1,1,4.13
20250527SSLT0,65522,2025-05-27,삼성,구원,,0.00,4,1 1/3,0,0,0,0,2,0,0,3.94
20250529SSLT0,65522,2025-05-29,삼성,구원,,0.00,3,1/3,2,0,0,0,0,1,0,3.9
20250531SKLT0,65522,2025-05-31,SSG,구원,,0.00,6,1 1/3,1,0,1,0,0,0,0,3.73
20250605WOLT0,65522,2025-06-05,키움,구원,,0.00,7,2,1,0,0,0,1,0,0,3.51
20250601KTLT0,65522,2025-06-01,KT,구원,,9.00,4,1,1,0,0,1,0,1,1,3.67
20250612KTLT0,65522,2025-06-12,KT,구원,,0.00,2,2/3,0,0,0,0,1,0,0,3.6
20250615SKLT0,65522,2025-06-15,SSG,구원,,0.00,3,1,0,0,0,0,1,0,0,3.5
20250617HHLT0,65522,2025-06-17,한화,구원,,27.00,4,2/3,2,0,0,0,0,2,2,3.93
20250618HHLT0,65522,2025-06-18,한화,구원,승,0.00,5,1 2/3,0,0,0,0,1,0,0,3.76
20250625NCLT0,65522,2025-06-25,NC,구원,,0.00,4,1,1,0,0,0,0,1,0,3.66
20250627KTLT0,65522,2025-06-27,KT,구원,홀,5.40,6,1 2/3,3,0,0,0,1,1,1,3.73
20250628KTLT0,65522,2025-06-28,KT,구원,,0.00,5,1,1,0,1,0,1,0,0,3.64
20250701LGLT0,65522,2025-07-01,LG,구원,,0.00,3,1,0,0,0,0,1,0,0,3.56
20250704HTLT0,65522,2025-07-04,KIA,구원,,-,2,0,1,0,1,0,0,0,0,3.56
20250708OBLT0,65522,2025-07-08,두산,구원,홀,13.50,4,2/3,2,1,0,0,0,1,1,3.71
