player_id,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
62925,"1,3루",0.200,5,1,0,0,0,1,1,0,0,0
62925,"2,3루",0.333,3,1,0,0,0,1,0,0,0,0
62925,만루,0.333,3,1,0,0,0,3,0,0,2,0
62925,주자있음,0.279,61,17,4,1,2,16,5,1,7,2
62925,득점권,0.275,40,11,2,1,1,14,3,1,4,0
62925,0-0,0.333,9,3,0,1,0,3,0,0,0,0
62925,1-0,0.429,14,6,2,0,0,5,0,2,0,0
62925,2-0,0.333,3,1,1,0,0,0,0,0,0,0
62925,3-0,-,0,0,0,0,0,0,1,0,0,0
62925,0-1,0.333,15,5,2,0,1,3,0,0,0,1
62925,1-1,0.077,13,1,0,0,0,0,0,0,0,0
62925,2-1,0.333,15,5,0,0,0,0,0,0,0,0
62925,3-1,0.000,1,0,0,0,0,0,1,0,0,0
62925,0-2,0.000,12,0,0,0,0,0,0,0,5,0
62925,1-2,0.364,22,8,0,0,2,6,0,1,6,0
62925,2-2,0.200,20,4,0,0,0,0,0,0,5,1
62925,3-2,0.200,10,2,1,0,0,0,4,0,4,0
62925,1회,0.000,10,0,0,0,0,0,0,0,1,0
62925,2회,0.350,20,7,0,0,0,3,0,0,3,0
62925,3회,0.364,11,4,1,0,0,0,0,0,0,0
62925,4회,0.235,17,4,1,0,0,0,3,0,4,1
62925,5회,0.182,11,2,1,0,1,4,0,0,2,0
62925,6회,0.235,17,4,0,0,2,4,1,1,2,0
62925,7회,0.222,9,2,0,0,0,0,0,1,2,1
62925,8회,0.444,18,8,1,0,0,4,1,0,2,0
62925,9회,0.211,19,4,2,1,0,2,1,1,3,0
62925,연장,0.000,2,0,0,0,0,0,0,0,1,0
62925,1~3회,0.268,41,11,1,0,0,3,0,0,4,0
62925,4~6회,0.222,45,10,2,0,3,8,4,1,8,1
62925,7회이후,0.292,48,14,3,1,0,6,2,2,8,1
62925,1번타자,0.000,4,0,0,0,0,0,0,0,1,0
62925,2번타자,0.000,2,0,0,0,0,0,0,0,0,0
62925,3번타자,0.167,18,3,0,0,0,1,0,0,0,0
62925,4번타자,0.000,2,0,0,0,0,0,0,0,0,0
62925,5번타자,0.000,5,0,0,0,0,1,0,0,2,0
62925,6번타자,0.381,42,16,4,0,0,3,3,3,4,0
62925,7번타자,0.067,15,1,0,0,1,2,0,0,4,0
62925,8번타자,0.321,28,9,0,1,1,7,2,0,4,2
62925,9번타자,0.333,18,6,2,0,1,3,1,0,5,0
62925,좌투수,0.232,56,13,2,0,1,2,1,1,7,1
62925,우투수,0.288,59,17,3,1,2,13,5,1,11,1
62925,언더투수,0.263,19,5,1,0,0,2,0,1,2,0
62925,0아웃,0.333,45,15,3,0,2,6,0,0,4,1
62925,1아웃,0.271,48,13,1,1,1,6,2,1,8,1
